Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2018-12-04,946.5,955.5,935.3,938.8,1394237243
2018-12-05,930.48,941.98,928.48,939.7,1183532673
2018-12-06,935.07,938.67,923.75,928.27,1156677725
2018-12-07,935.21,938.07,931.49,936.99,998476194
2018-12-10,932.46,934.54,922.18,922.27,846933048
2018-12-11,924.5,927.04,916.1,918.01,1033126514
2018-12-12,921.36,923.27,899.57,900.51,1300587672
2018-12-13,905.19,914.43,904.32,913.87,928915408
2018-12-14,910.72,912.01,893.38,905.29,1038222317
2018-12-17,905.96,909.95,899.33,899.62,779295525
2018-12-18,896.95,910.74,895.67,910.74,1034882067
2018-12-19,913.16,925.83,910.88,925.53,1199904934
2018-12-20,918.64,924.25,913.32,918.54,1124546194
2018-12-21,917.78,922.22,909.16,918.61,1171126958
2018-12-24,921.39,924.36,915.16,915.27,721906190
2018-12-25,909.8,912.06,904.7,908.3,447848510
2018-12-26,911.21,913.94,906.87,910.02,457076790
2018-12-27,917.93,919.12,907.63,909.75,714545383
2018-12-28,911.74,914.95,901.07,904.35,648645928
2018-12-31,906.75,913.38,903.24,912.7,445458333
2019-01-02,909.86,909.86,886.5,888.65,771043777
2019-01-03,883.76,895.45,873.99,873.99,959784855
2019-01-04,878.94,891.21,878.94,888.31,918286362
2019-01-07,894.45,902.28,892.81,899.51,971553766
2019-01-08,902.48,907.76,893.62,906.97,981649741
2019-01-09,910.32,914.19,905.91,911.57,1132275647
2019-01-10,912.26,918.46,906.95,911.96,1016418537
2019-01-11,915.03,920.28,912.63,916.87,912419251
2019-01-14,908.25,920.54,903.88,920.54,937270246
2019-01-15,926.28,933.03,924.78,931.73,1286812602
2019-01-16,933.65,954.41,930.23,954.11,1671499068
2019-01-17,955,973.55,951.61,968.17,1845131566
2019-01-18,971.93,986.62,970.46,984.55,1437182542
2019-01-21,986.27,998.29,976.35,979.55,1560237174
2019-01-22,979.91,996.77,978.56,996.77,1615054314
2019-01-23,997.38,1004.88,990.6,1001.41,1516933336
2019-01-24,1004.54,1017.74,1003.15,1017.74,1597430156
2019-01-25,1021.23,1023.2,1012,1018.01,1349116922
2019-01-28,1018.23,1028.07,1012.4,1012.9,1277049745
2019-01-29,1013.59,1040.98,1010.77,1040.98,1537751036
2019-01-30,1041.54,1047.93,1035.5,1041.9,1644498855
2019-01-31,1054.78,1059.3,1034.09,1040.74,1875729373
2019-02-01,1040.61,1043.72,1026.48,1029.37,1428046020
2019-02-04,1030.78,1035.54,1019.89,1022.55,1114624897
2019-02-05,1027.65,1038.52,1017.56,1024.48,1537282883
2019-02-06,1028.99,1030.89,1016.2,1025.84,1463439170
2019-02-07,1027.53,1029.37,1019.45,1027.84,1420269300
2019-02-08,1024.95,1027.42,1021.19,1024.52,1098831494
2019-02-11,1032.88,1046.57,1032.8,1043.95,1295289437
2019-02-12,1046.53,1049.77,1033.65,1037.62,1449542488
2019-02-13,1043.39,1044.55,1016.46,1016.46,1546812160
2019-02-14,1019.24,1026.17,1007.5,1021.3,1637581827
2019-02-15,1020.71,1029.78,1011.87,1027.15,1298424816
2019-02-18,1028.67,1031.31,1017.28,1017.28,1264731965
2019-02-19,1018.45,1019.79,1007.13,1017.42,1177540727
