Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2024-08-16,30.02,30.4,29.7,29.8,3980
2024-08-19,29.9,30.1,29.9,29.92,786
2024-08-20,29.98,29.98,29.88,29.98,882
2024-08-21,29.98,30.3,29.98,30.1,346
2024-08-22,30.1,30.1,29.7,29.7,1534
2024-08-23,29.9,29.98,29.72,29.94,210
2024-08-26,29.94,29.96,29.7,29.94,151
2024-08-27,29.94,29.94,29.72,29.82,693
2024-08-28,29.82,29.82,29.72,29.8,273
2024-08-29,29.7,29.82,29.5,29.8,949
2024-08-30,29.82,29.84,27.46,29.2,7630
2024-09-02,29.5,29.88,29.24,29.4,1018
2024-09-03,29.4,29.76,29.4,29.5,523
2024-09-04,29.76,29.76,29.4,29.6,688
2024-09-05,29.7,29.7,29.16,29.18,684
2024-09-06,29.22,29.3,28.8,29.04,1720
2024-09-09,29.04,29.48,28.7,28.7,2264
2024-09-10,28.62,29.28,28.62,28.7,982
2024-09-11,28.7,28.7,28.36,28.4,1232
2024-09-12,28.3,29.04,28.02,28.36,32211
2024-09-13,28.36,28.8,28.16,28.8,40787
2024-09-16,28.8,29,28,28.96,782
2024-09-17,28.46,28.9,28.46,28.54,42958
2024-09-18,28.9,28.9,28.2,28.56,42990
2024-09-19,28.26,28.78,28.16,28.78,46319
2024-09-20,28.78,28.9,28.3,28.32,51192
2024-09-23,28.74,29,28.4,28.52,50934
2024-09-24,28.52,29,28.52,28.74,41614
2024-09-25,28.98,28.98,28.54,28.64,63116
2024-09-26,28.7,28.98,28.7,28.74,1516
2024-09-27,29,29.1,28.82,29.04,398
2024-09-30,29.28,29.28,28.3,28.9,794
