Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
2015-01-21,773.5,781,762,765.5
2015-01-22,765,773.5,756.5,773
2015-01-23,771,773.5,760.5,772
2015-01-26,774,780,755,778.5
2015-01-27,772.5,782.5,771,779.5
2015-01-28,776,796,773.5,791.5
2015-01-29,792.5,792.5,765,770.5
2015-01-30,773,781,768.75,769.75
2015-02-02,770.5,786,768,784
2015-02-03,786,795.5,781,783.5
2015-02-04,784,796,782.5,789.75
2015-02-05,793,795,783.5,793.5
2015-02-06,789,795,779,783
2015-02-09,782,786,773.5,777.5
2015-02-10,779,781.5,763.5,768.25
2015-02-11,770,777,763,764.5
2015-02-12,767.5,776,766,772.25
2015-02-13,772.75,792.75,770.75,788.75
2015-02-16,789.5,792,782,786.5
2015-02-17,787,787,774.5,781
2015-02-18,781.5,782.75,773.75,777.25
2015-02-19,776.5,788,773.5,784.5
2015-02-20,784,785.5,774,777
2015-02-23,778.5,785.5,773,785
2015-02-24,784,795.07,781,794.3
2015-02-25,797,809.1,796.5,807.45
2015-02-26,808.95,815.53,807,810.4
2015-02-27,814.28,818.95,803.92,818.6
2015-03-02,818.4,833,813.95,830.7
2015-03-03,828.5,832.75,821.25,829.98
2015-03-04,828.9,832.82,822.25,827.57
2015-03-05,829.7,831.9,822.65,826.3
2015-03-06,827.25,829.78,815.15,818.57
2015-03-09,822.25,827.75,819.75,821.5
2015-03-10,820.4,821,801,803.25
2015-03-11,805.25,808.5,788.75,789.25
2015-03-12,791,798.82,786,790.15
2015-03-13,793.85,798.25,788,794
2015-03-16,788.5,792.4,778.55,779.3
2015-03-17,781.3,781.3,758.75,763.2
2015-03-18,761.65,788.07,759,782.35
2015-03-19,786.75,787.65,765.73,766.75
2015-03-20,768.5,780.15,765.85,777
2015-03-23,776.25,781.76,771.63,776.94
2015-03-24,776.73,776.73,763.85,764
2015-03-25,763.75,770.56,762.75,764.95
2015-03-26,764.38,778,764.05,771.35
